0.000000000000000000e+00 1.330000000000000000e+02
3.990000000000000000e+02 1.330000000000000000e+02
7.980000000000000000e+02 1.330000000000000000e+02
1.197000000000000000e+03 1.330000000000000000e+02
1.596000000000000000e+03 1.330000000000000000e+02
1.995000000000000000e+03 1.330000000000000000e+02
2.394000000000000000e+03 1.330000000000000000e+02
2.793000000000000000e+03 1.330000000000000000e+02
3.192000000000000000e+03 1.330000000000000000e+02
3.591000000000000000e+03 1.330000000000000000e+02
3.990000000000000000e+03 1.330000000000000000e+02
4.389000000000000000e+03 1.330000000000000000e+02
4.788000000000000000e+03 1.330000000000000000e+02
5.187000000000000000e+03 1.330000000000000000e+02
5.586000000000000000e+03 1.330000000000000000e+02
5.985000000000000000e+03 1.330000000000000000e+02
6.384000000000000000e+03 1.330000000000000000e+02
6.783000000000000000e+03 1.330000000000000000e+02
7.182000000000000000e+03 1.330000000000000000e+02
7.581000000000000000e+03 1.330000000000000000e+02
7.980000000000000000e+03 1.330000000000000000e+02
8.379000000000000000e+03 1.330000000000000000e+02
8.778000000000000000e+03 1.330000000000000000e+02
9.177000000000000000e+03 1.330000000000000000e+02
9.576000000000000000e+03 1.330000000000000000e+02
9.975000000000000000e+03 1.330000000000000000e+02
1.037400000000000000e+04 1.330000000000000000e+02
1.077300000000000000e+04 1.330000000000000000e+02
1.117200000000000000e+04 1.330000000000000000e+02
1.157100000000000000e+04 1.330000000000000000e+02
1.197000000000000000e+04 1.330000000000000000e+02
1.236900000000000000e+04 1.330000000000000000e+02
1.276800000000000000e+04 1.330000000000000000e+02
1.316700000000000000e+04 1.330000000000000000e+02
1.356600000000000000e+04 1.330000000000000000e+02
1.396500000000000000e+04 1.330000000000000000e+02
1.436400000000000000e+04 1.330000000000000000e+02
1.476300000000000000e+04 1.330000000000000000e+02
1.516200000000000000e+04 1.330000000000000000e+02
1.556100000000000000e+04 1.330000000000000000e+02
1.596000000000000000e+04 1.330000000000000000e+02
1.635900000000000000e+04 1.330000000000000000e+02
1.675800000000000000e+04 1.330000000000000000e+02
1.715700000000000000e+04 1.330000000000000000e+02
1.755600000000000000e+04 1.330000000000000000e+02
1.795500000000000000e+04 1.330000000000000000e+02
1.835400000000000000e+04 1.330000000000000000e+02
1.875300000000000000e+04 1.330000000000000000e+02
1.915200000000000000e+04 1.330000000000000000e+02
1.955100000000000000e+04 1.330000000000000000e+02
1.995000000000000000e+04 1.330000000000000000e+02
2.034900000000000000e+04 1.330000000000000000e+02
2.074800000000000000e+04 1.330000000000000000e+02
2.114700000000000000e+04 1.330000000000000000e+02
2.154600000000000000e+04 1.330000000000000000e+02
2.194500000000000000e+04 1.330000000000000000e+02
2.234400000000000000e+04 1.330000000000000000e+02
2.274300000000000000e+04 1.330000000000000000e+02
2.314200000000000000e+04 1.330000000000000000e+02
2.354100000000000000e+04 1.330000000000000000e+02
2.394000000000000000e+04 1.330000000000000000e+02
2.433900000000000000e+04 1.330000000000000000e+02
2.473800000000000000e+04 1.330000000000000000e+02
